transaction_id,deterministic_invoice,deterministic_decision,deterministic_score,expected_invoice,correct,ai_decision,ai_invoice,ai_confidence,ai_risk,ai_reason
B0056,INV0056,MATCHED,100.0,INV0056,True,,,,,
B0149,INV0149,MATCHED,100.0,INV0149,True,,,,,
B0019,INV0019,MATCHED,100.0,INV0019,True,,,,,
B0205,INV0205,MATCHED,100.0,INV0205,True,,,,,
B0079,INV0079,MATCHED,100.0,INV0079,True,,,,,
B0495,INV0495,MATCHED,100.0,INV0495,True,,,,,
B0263,INV0263,MATCHED,100.0,INV0263,True,,,,,
B0324,INV0324_DUP,WARNING,100.0,INV0324,False,MATCH,INV0324,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0484,INV0484,MATCHED,100.0,INV0484,True,,,,,
B0080,INV0080,MATCHED,100.0,INV0080,True,,,,,
B0040,INV0040,MATCHED,100.0,INV0040,True,,,,,
B0452,INV0452,MATCHED,100.0,INV0452,True,,,,,
B0047,INV0047,MATCHED,100.0,INV0047,True,,,,,
B0239,INV0239,MATCHED,100.0,INV0239,True,,,,,
B0392,INV0392,MATCHED,100.0,INV0392,True,,,,,
B0353,INV0353,MATCHED,100.0,INV0353,True,,,,,
B0342,INV0342_DUP,WARNING,100.0,INV0342,False,MATCH,INV0342_DUP,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0278,INV0278,MATCHED,100.0,INV0278,True,,,,,
B0291,INV0291,MATCHED,100.0,INV0291,True,,,,,
B0318,INV0318,MATCHED,100.0,INV0318,True,,,,,
B0305,INV0305,MATCHED,100.0,INV0305,True,,,,,
B0269,INV0432,WARNING,70.0,INV0269,False,REVIEW,,55.0,LOW,"The transaction matches the ERP candidate on reference, amount, and date but not on vendor similarity."
B0070,INV0070,MATCHED,100.0,INV0070,True,,,,,
B0456,INV0456,MATCHED,100.0,INV0456,True,,,,,
B0466,INV0466,MATCHED,100.0,INV0466,True,,,,,
B0155,INV0155,MATCHED,100.0,INV0155,True,,,,,
B0083,INV0083,MATCHED,100.0,INV0083,True,,,,,
B0478,INV0478,MATCHED,100.0,INV0478,True,,,,,
B0173,INV0173,MATCHED,100.0,INV0173,True,,,,,
B0322,INV0322,MATCHED,100.0,INV0322,True,,,,,
B0091,INV0091,MATCHED,100.0,INV0091,True,,,,,
B0181,INV0181_DUP,WARNING,100.0,INV0181,False,MATCH,INV0181_DUP,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0415,INV0415,MATCHED,100.0,INV0415,True,,,,,
B0313,INV0166,WARNING,70.0,INV0313,False,REVIEW,,55.0,LOW,"The transaction does not have a perfect match based on the provided candidates. There are no candidates with exact reference, amount, date, and vendor similarity."
B0279,INV0279,MATCHED,100.0,INV0279,True,,,,,
B0382,INV0382,MATCHED,100.0,INV0382,True,,,,,
B0473,INV0473,MATCHED,100.0,INV0473,True,,,,,
B0363,,EXCEPTION,47.69230769230769,INV0363,False,REVIEW,,47.0,LOW,"The transaction matches the ERP candidate on reference, amount, and date, but the vendor similarity is low."
B0325,INV0325,MATCHED,100.0,INV0325,True,,,,,
B0432,INV0432,MATCHED,100.0,INV0432,True,,,,,
B0348,INV0348,MATCHED,100.0,INV0348,True,,,,,
B0087,INV0087,MATCHED,100.0,INV0087,True,,,,,
B0076,INV0076,MATCHED,100.0,INV0076,True,,,,,
B0439,INV0439,MATCHED,100.0,INV0439,True,,,,,
B0016,INV0016,MATCHED,100.0,INV0016,True,,,,,
B0250,INV0250,MATCHED,100.0,INV0250,True,,,,,
B0434,INV0434,MATCHED,100.0,INV0434,True,,,,,
B0020,INV0020,MATCHED,100.0,INV0020,True,,,,,
B0323,INV0323,MATCHED,100.0,INV0323,True,,,,,
B0333,INV0333,MATCHED,100.0,INV0333,True,,,,,
B0057,INV0057,MATCHED,100.0,INV0057,True,,,,,
B0302,INV0302,WARNING,100.0,INV0302,True,MATCH,INV0302,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0230,INV0230,MATCHED,100.0,INV0230,True,,,,,
B0332,INV0332,MATCHED,100.0,INV0332,True,,,,,
B0133,INV0133,MATCHED,100.0,INV0133,True,,,,,
B0138,INV0138,MATCHED,100.0,INV0138,True,,,,,
B0424,INV0424,MATCHED,100.0,INV0424,True,,,,,
B0336,INV0336,MATCHED,100.0,INV0336,True,,,,,
B0026,INV0026,MATCHED,100.0,INV0026,True,,,,,
B0465,INV0465,MATCHED,100.0,INV0465,True,,,,,
B0282,INV0282,MATCHED,100.0,INV0282,True,,,,,
B0248,INV0248,MATCHED,100.0,INV0248,True,,,,,
B0238,INV0238,MATCHED,100.0,INV0238,True,,,,,
B0118,INV0118,MATCHED,100.0,INV0118,True,,,,,
B0043,INV0043,MATCHED,100.0,INV0043,True,,,,,
B0221,INV0221,WARNING,100.0,INV0221,True,MATCH,INV0221,100.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0177,INV0177,MATCHED,100.0,INV0177,True,,,,,
B0321,INV0321,MATCHED,100.0,INV0321,True,,,,,
B0154,INV0154,MATCHED,100.0,INV0154,True,,,,,
B0232,INV0232,MATCHED,100.0,INV0232,True,,,,,
B0228,INV0228,MATCHED,100.0,INV0228,True,,,,,
B0418,INV0418_DUP,WARNING,100.0,INV0418,False,MATCH,INV0418_DUP,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0204,INV0204,MATCHED,100.0,INV0204,True,,,,,
B0127,,EXCEPTION,69.52380952380952,INV0127,False,REVIEW,,50.0,LOW,The transaction does not match any provided ERP candidate based on the provided evidence.
B0330,INV0330,MATCHED,100.0,INV0330,True,,,,,
B0032,,EXCEPTION,58.25,INV0032,False,REVIEW,,58.25,LOW,The transaction does not match any provided ERP candidate based on the provided evidence.
B0114,INV0114,MATCHED,100.0,INV0114,True,,,,,
B0471,INV0471,MATCHED,100.0,INV0471,True,,,,,
B0272,INV0272,MATCHED,100.0,INV0272,True,,,,,
B0141,INV0141,MATCHED,100.0,INV0141,True,,,,,
B0058,INV0058,MATCHED,100.0,INV0058,True,,,,,
B0193,INV0193,MATCHED,100.0,INV0193,True,,,,,
B0025,INV0025,MATCHED,100.0,INV0025,True,,,,,
B0018,INV0018,MATCHED,100.0,INV0018,True,,,,,
B0266,INV0266,MATCHED,100.0,INV0266,True,,,,,
B0067,INV0067,MATCHED,100.0,INV0067,True,,,,,
B0209,INV0209,MATCHED,100.0,INV0209,True,,,,,
B0480,INV0480,MATCHED,100.0,INV0480,True,,,,,
B0095,INV0095,MATCHED,100.0,INV0095,True,,,,,
B0254,INV0254,MATCHED,100.0,INV0254,True,,,,,
B0267,INV0267,MATCHED,100.0,INV0267,True,,,,,
B0024,INV0024,MATCHED,100.0,INV0024,True,,,,,
B0223,INV0223,MATCHED,100.0,INV0223,True,,,,,
B0262,INV0262,MATCHED,100.0,INV0262,True,,,,,
B0427,INV0427,MATCHED,100.0,INV0427,True,,,,,
B0006,INV0006,MATCHED,100.0,INV0006,True,,,,,
B0117,INV0117,MATCHED,100.0,INV0117,True,,,,,
B0046,INV0046,MATCHED,100.0,INV0046,True,,,,,
B0017,INV0017,MATCHED,100.0,INV0017,True,,,,,
B0463,INV0463,MATCHED,100.0,INV0463,True,,,,,
B0358,INV0358,MATCHED,100.0,INV0358,True,,,,,
B0004,INV0004,MATCHED,100.0,INV0004,True,,,,,
B0219,INV0219,MATCHED,100.0,INV0219,True,,,,,
B0406,INV0406,MATCHED,100.0,INV0406,True,,,,,
B0061,INV0061,MATCHED,100.0,INV0061,True,,,,,
B0111,INV0111,MATCHED,100.0,INV0111,True,,,,,
B0319,INV0319,MATCHED,100.0,INV0319,True,,,,,
B0429,INV0091,WARNING,70.0,INV0429,False,REVIEW,,55.0,LOW,"The transaction requires review due to conflicting evidence. Multiple candidates have strong signals but no single candidate has exact reference, amount, date, and vendor match."
B0030,INV0030,MATCHED,100.0,INV0030,True,,,,,
B0438,INV0438,MATCHED,100.0,INV0438,True,,,,,
B0472,INV0472,MATCHED,100.0,INV0472,True,,,,,
B0027,INV0027,MATCHED,100.0,INV0027,True,,,,,
B0008,INV0008,MATCHED,100.0,INV0008,True,,,,,
B0454,INV0454,MATCHED,100.0,INV0454,True,,,,,
B0109,INV0109,MATCHED,100.0,INV0109,True,,,,,
B0038,INV0038,MATCHED,100.0,INV0038,True,,,,,
B0158,INV0158,MATCHED,100.0,INV0158,True,,,,,
B0490,INV0490,MATCHED,100.0,INV0490,True,,,,,
B0119,INV0119,MATCHED,100.0,INV0119,True,,,,,
B0115,INV0115,MATCHED,100.0,INV0115,True,,,,,
B0176,,EXCEPTION,55.78947368421053,INV0176,False,REVIEW,,55.0,LOW,The transaction does not match any of the provided ERP candidates based on the provided evidence hierarchy.
B0374,INV0374,MATCHED,100.0,INV0374,True,,,,,
B0182,INV0182,MATCHED,100.0,INV0182,True,,,,,
B0145,INV0480,WARNING,70.0,INV0145,False,MATCH,INV0480,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0370,INV0370,MATCHED,100.0,INV0370,True,,,,,
B0391,INV0391,MATCHED,100.0,INV0391,True,,,,,
B0196,INV0196,MATCHED,100.0,INV0196,True,,,,,
B0405,INV0405,MATCHED,100.0,INV0405,True,,,,,
B0276,INV0276,MATCHED,100.0,INV0276,True,,,,,
B0455,INV0455,MATCHED,100.0,INV0455,True,,,,,
B0142,INV0142,MATCHED,100.0,INV0142,True,,,,,
B0366,,EXCEPTION,52.5,INV0366,False,REVIEW,,52.5,LOW,The transaction does not match any provided ERP candidate based on the provided evidence.
B0068,INV0068,MATCHED,100.0,INV0068,True,,,,,
B0211,INV0211,MATCHED,100.0,INV0211,True,,,,,
B0169,INV0169,MATCHED,100.0,INV0169,True,,,,,
B0494,INV0494,MATCHED,100.0,INV0494,True,,,,,
B0376,INV0376,MATCHED,100.0,INV0376,True,,,,,
B0401,INV0401,MATCHED,100.0,INV0401,True,,,,,
B0273,INV0273,MATCHED,100.0,INV0273,True,,,,,
B0110,INV0110,MATCHED,100.0,INV0110,True,,,,,
B0249,INV0249,MATCHED,100.0,INV0249,True,,,,,
B0146,INV0146,MATCHED,100.0,INV0146,True,,,,,
B0093,INV0093,MATCHED,100.0,INV0093,True,,,,,
B0153,INV0153,MATCHED,100.0,INV0153,True,,,,,
B0368,INV0368,WARNING,100.0,INV0368,True,MATCH,INV0368,100.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0468,INV0468,MATCHED,100.0,INV0468,True,,,,,
B0084,INV0084,MATCHED,100.0,INV0084,True,,,,,
B0246,INV0246,MATCHED,100.0,INV0246,True,,,,,
B0166,INV0166,MATCHED,100.0,INV0166,True,,,,,
B0164,INV0164,MATCHED,100.0,INV0164,True,,,,,
B0200,INV0200,MATCHED,100.0,INV0200,True,,,,,
B0229,INV0229,MATCHED,100.0,INV0229,True,,,,,
B0075,INV0075,MATCHED,100.0,INV0075,True,,,,,
B0479,INV0479,MATCHED,100.0,INV0479,True,,,,,
B0359,INV0359,MATCHED,100.0,INV0359,True,,,,,
B0251,INV0251,MATCHED,100.0,INV0251,True,,,,,
B0120,INV0120,MATCHED,100.0,INV0120,True,,,,,
B0311,INV0311,MATCHED,100.0,INV0311,True,,,,,
B0300,INV0300,MATCHED,100.0,INV0300,True,,,,,
B0256,INV0256,MATCHED,100.0,INV0256,True,,,,,
B0355,INV0355,MATCHED,100.0,INV0355,True,,,,,
B0400,INV0400,MATCHED,100.0,INV0400,True,,,,,
B0226,INV0226,MATCHED,100.0,INV0226,True,,,,,
B0354,INV0354,MATCHED,100.0,INV0354,True,,,,,
B0235,INV0235,MATCHED,100.0,INV0235,True,,,,,
B0383,INV0383,MATCHED,100.0,INV0383,True,,,,,
B0275,INV0275,MATCHED,100.0,INV0275,True,,,,,
B0037,INV0037,MATCHED,100.0,INV0037,True,,,,,
B0197,INV0197,MATCHED,100.0,INV0197,True,,,,,
B0140,INV0140,MATCHED,100.0,INV0140,True,,,,,
B0365,INV0365,MATCHED,100.0,INV0365,True,,,,,
B0245,INV0245,MATCHED,100.0,INV0245,True,,,,,
B0440,INV0440,MATCHED,100.0,INV0440,True,,,,,
B0287,INV0287,MATCHED,100.0,INV0287,True,,,,,
B0060,INV0060,MATCHED,100.0,INV0060,True,,,,,
B0112,INV0112,MATCHED,100.0,INV0112,True,,,,,
B0090,INV0090,MATCHED,100.0,INV0090,True,,,,,
B0437,INV0437,MATCHED,100.0,INV0437,True,,,,,
B0007,INV0007,MATCHED,100.0,INV0007,True,,,,,
B0361,INV0361,MATCHED,100.0,INV0361,True,,,,,
B0347,INV0347,MATCHED,100.0,INV0347,True,,,,,
B0339,INV0339,MATCHED,100.0,INV0339,True,,,,,
B0159,INV0159,MATCHED,100.0,INV0159,True,,,,,
B0151,INV0151,MATCHED,100.0,INV0151,True,,,,,
B0178,INV0178,WARNING,100.0,INV0178,True,MATCH,INV0178,100.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0394,INV0394,MATCHED,100.0,INV0394,True,,,,,
B0185,INV0185,MATCHED,100.0,INV0185,True,,,,,
B0450,INV0450,MATCHED,100.0,INV0450,True,,,,,
B0011,INV0011,MATCHED,100.0,INV0011,True,,,,,
B0381,INV0381,MATCHED,100.0,INV0381,True,,,,,
B0104,INV0104,MATCHED,100.0,INV0104,True,,,,,
B0082,,EXCEPTION,63.75,INV0082,False,REVIEW,,50.0,LOW,"The transaction matches the ERP candidate on reference, amount, and date, but there is no strong vendor similarity."
B0039,INV0039,MATCHED,100.0,INV0039,True,,,,,
B0315,INV0315,MATCHED,100.0,INV0315,True,,,,,
B0168,INV0168,MATCHED,100.0,INV0168,True,,,,,
B0470,INV0479,WARNING,82.0,INV0470,False,REVIEW,,55.0,LOW,The transaction requires review due to a material amount discrepancy and conflicting evidence.
B0297,INV0297,MATCHED,100.0,INV0297,True,,,,,
B0475,INV0475,MATCHED,100.0,INV0475,True,,,,,
B0199,INV0199,MATCHED,100.0,INV0199,True,,,,,
B0298,INV0298,MATCHED,100.0,INV0298,True,,,,,
B0417,INV0417,MATCHED,100.0,INV0417,True,,,,,
B0147,INV0147,MATCHED,100.0,INV0147,True,,,,,
B0393,INV0393,MATCHED,100.0,INV0393,True,,,,,
B0148,INV0148,MATCHED,100.0,INV0148,True,,,,,
B0448,INV0448,MATCHED,100.0,INV0448,True,,,,,
B0288,INV0288,MATCHED,100.0,INV0288,True,,,,,
B0124,INV0124,MATCHED,100.0,INV0124,True,,,,,
B0369,INV0369,MATCHED,100.0,INV0369,True,,,,,
B0097,INV0097,MATCHED,100.0,INV0097,True,,,,,
B0144,INV0144,MATCHED,100.0,INV0144,True,,,,,
B0240,INV0240,MATCHED,100.0,INV0240,True,,,,,
B0443,INV0443,MATCHED,100.0,INV0443,True,,,,,
B0098,INV0098,MATCHED,100.0,INV0098,True,,,,,
B0408,INV0408,MATCHED,100.0,INV0408,True,,,,,
B0123,INV0123,MATCHED,100.0,INV0123,True,,,,,
B0184,INV0184,MATCHED,100.0,INV0184,True,,,,,
B0203,INV0203,MATCHED,100.0,INV0203,True,,,,,
B0247,INV0247,MATCHED,100.0,INV0247,True,,,,,
B0306,INV0306,MATCHED,100.0,INV0306,True,,,,,
B0299,INV0299,MATCHED,100.0,INV0299,True,,,,,
B0352,INV0352,MATCHED,100.0,INV0352,True,,,,,
B0387,INV0387,MATCHED,100.0,INV0387,True,,,,,
B0396,INV0396,MATCHED,100.0,INV0396,True,,,,,
B0285,INV0285,MATCHED,100.0,INV0285,True,,,,,
B0126,INV0126,MATCHED,100.0,INV0126,True,,,,,
B0303,INV0303,MATCHED,100.0,INV0303,True,,,,,
B0224,INV0224,MATCHED,100.0,INV0224,True,,,,,
B0419,INV0419,MATCHED,100.0,INV0419,True,,,,,
B0220,INV0220,MATCHED,100.0,INV0220,True,,,,,
B0130,INV0130,MATCHED,100.0,INV0130,True,,,,,
B0421,INV0421,MATCHED,100.0,INV0421,True,,,,,
B0290,INV0290,MATCHED,100.0,INV0290,True,,,,,
B0445,INV0445,MATCHED,100.0,INV0445,True,,,,,
B0377,INV0377,MATCHED,100.0,INV0377,True,,,,,
B0292,INV0292,MATCHED,100.0,INV0292,True,,,,,
B0356,INV0356,MATCHED,100.0,INV0356,True,,,,,
B0295,INV0295,MATCHED,100.0,INV0295,True,,,,,
B0397,INV0397,MATCHED,100.0,INV0397,True,,,,,
B0341,INV0341,MATCHED,100.0,INV0341,True,,,,,
B0113,INV0113,MATCHED,100.0,INV0113,True,,,,,
B0180,INV0180,MATCHED,100.0,INV0180,True,,,,,
B0308,INV0308,MATCHED,100.0,INV0308,True,,,,,
B0433,INV0433,MATCHED,100.0,INV0433,True,,,,,
B0488,INV0488,MATCHED,100.0,INV0488,True,,,,,
B0482,INV0482,MATCHED,100.0,INV0482,True,,,,,
B0423,INV0423,MATCHED,100.0,INV0423,True,,,,,
B0234,INV0234,MATCHED,100.0,INV0234,True,,,,,
B0312,INV0312,MATCHED,100.0,INV0312,True,,,,,
B0165,INV0165,MATCHED,100.0,INV0165,True,,,,,
B0137,INV0137,MATCHED,100.0,INV0137,True,,,,,
B0198,INV0198,MATCHED,100.0,INV0198,True,,,,,
B0259,,EXCEPTION,53.166666666666664,INV0259,False,REVIEW,,53.0,LOW,The transaction does not match any provided ERP candidate due to material amount discrepancy and lack of other strong signals.
B0233,INV0233,MATCHED,100.0,INV0233,True,,,,,
B0116,INV0116,MATCHED,100.0,INV0116,True,,,,,
B0121,INV0121,MATCHED,100.0,INV0121,True,,,,,
B0350,INV0350_DUP,WARNING,100.0,INV0350,False,MATCH,INV0350_DUP,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0225,,EXCEPTION,55.78947368421053,INV0225,False,REVIEW,,55.0,LOW,"The transaction matches the ERP candidate on reference, amount, and date but not on vendor."
B0403,INV0403,MATCHED,100.0,INV0403,True,,,,,
B0398,INV0398,MATCHED,100.0,INV0398,True,,,,,
B0128,INV0128,MATCHED,100.0,INV0128,True,,,,,
B0286,INV0286,MATCHED,100.0,INV0286,True,,,,,
B0412,INV0412,MATCHED,100.0,INV0412,True,,,,,
B0108,INV0108,MATCHED,100.0,INV0108,True,,,,,
B0371,INV0371,MATCHED,100.0,INV0371,True,,,,,
B0326,INV0326,MATCHED,100.0,INV0326,True,,,,,
B0134,INV0134,MATCHED,100.0,INV0134,True,,,,,
B0453,INV0453,MATCHED,100.0,INV0453,True,,,,,
B0045,INV0045,MATCHED,100.0,INV0045,True,,,,,
B0461,,EXCEPTION,47.14285714285714,INV0461,False,REVIEW,,0.0,LOW,The transaction does not match any of the provided ERP candidates based on the provided evidence.
B0066,INV0066,MATCHED,100.0,INV0066,True,,,,,
B0284,INV0284,MATCHED,100.0,INV0284,True,,,,,
B0086,INV0086,MATCHED,100.0,INV0086,True,,,,,
B0243,INV0243,MATCHED,100.0,INV0243,True,,,,,
B0187,,EXCEPTION,47.69230769230769,INV0187,False,REVIEW,,0.0,MEDIUM,The transaction does not match any provided ERP candidate due to material amount discrepancy and lack of other strong signals.
B0384,INV0384,MATCHED,100.0,INV0384,True,,,,,
B0160,INV0160,MATCHED,100.0,INV0160,True,,,,,
B0013,INV0013,MATCHED,100.0,INV0013,True,,,,,
B0036,INV0036,WARNING,100.0,INV0036,True,REVIEW,,50.0,LOW,"The transaction matches the ERP candidate on reference, amount, and date, but there is no strong vendor similarity."
B0029,INV0029,MATCHED,100.0,INV0029,True,,,,,
B0171,INV0171,MATCHED,100.0,INV0171,True,,,,,
B0143,INV0143,MATCHED,100.0,INV0143,True,,,,,
B0399,INV0399,MATCHED,100.0,INV0399,True,,,,,
B0343,INV0343,MATCHED,100.0,INV0343,True,,,,,
B0222,INV0222,MATCHED,100.0,INV0222,True,,,,,
B0096,INV0096,MATCHED,100.0,INV0096,True,,,,,
B0052,INV0052_DUP,WARNING,100.0,INV0052,False,MATCH,INV0052_DUP,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0241,INV0241,MATCHED,100.0,INV0241,True,,,,,
B0485,INV0485,MATCHED,100.0,INV0485,True,,,,,
B0379,INV0379,MATCHED,100.0,INV0379,True,,,,,
B0179,INV0179,MATCHED,100.0,INV0179,True,,,,,
B0042,INV0042,MATCHED,100.0,INV0042,True,,,,,
B0499,INV0499,MATCHED,100.0,INV0499,True,,,,,
B0422,INV0422,MATCHED,100.0,INV0422,True,,,,,
B0207,INV0207,MATCHED,100.0,INV0207,True,,,,,
B0283,INV0283,MATCHED,100.0,INV0283,True,,,,,
B0255,INV0255,MATCHED,100.0,INV0255,True,,,,,
B0413,INV0413,MATCHED,100.0,INV0413,True,,,,,
B0005,INV0005,MATCHED,100.0,INV0005,True,,,,,
B0257,INV0257,MATCHED,100.0,INV0257,True,,,,,
B0449,INV0449,MATCHED,100.0,INV0449,True,,,,,
B0101,INV0101,MATCHED,100.0,INV0101,True,,,,,
B0227,INV0227,MATCHED,100.0,INV0227,True,,,,,
B0430,INV0430,MATCHED,100.0,INV0430,True,,,,,
B0214,INV0214,MATCHED,100.0,INV0214,True,,,,,
B0172,INV0172,MATCHED,100.0,INV0172,True,,,,,
B0099,INV0099,MATCHED,100.0,INV0099,True,,,,,
B0293,INV0293,MATCHED,100.0,INV0293,True,,,,,
B0216,INV0216,MATCHED,100.0,INV0216,True,,,,,
B0062,INV0062,MATCHED,100.0,INV0062,True,,,,,
B0048,INV0048,MATCHED,100.0,INV0048,True,,,,,
B0033,INV0033,MATCHED,100.0,INV0033,True,,,,,
B0268,,EXCEPTION,63.75,INV0268,False,REVIEW,,0.0,LOW,The transaction does not match any provided ERP candidate based on the provided evidence.
B0328,INV0328,MATCHED,100.0,INV0328,True,,,,,
B0201,INV0201,MATCHED,100.0,INV0201,True,,,,,
B0447,INV0447,MATCHED,100.0,INV0447,True,,,,,
B0028,INV0028_DUP,WARNING,100.0,INV0028,False,MATCH,INV0028_DUP,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0425,INV0425,MATCHED,100.0,INV0425,True,,,,,
B0231,,EXCEPTION,66.25,INV0231,False,REVIEW,,56.67,LOW,"The transaction matches the ERP candidate on reference, amount, and date, but the vendor similarity is low (25.0)."
B0261,INV0261,MATCHED,100.0,INV0261,True,,,,,
B0289,INV0289,MATCHED,100.0,INV0289,True,,,,,
B0163,INV0163,MATCHED,100.0,INV0163,True,,,,,
B0426,INV0426,WARNING,100.0,INV0426,True,MATCH,INV0426,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0139,INV0139,MATCHED,100.0,INV0139,True,,,,,
B0063,INV0063,MATCHED,100.0,INV0063,True,,,,,
B0136,INV0136,MATCHED,100.0,INV0136,True,,,,,
B0129,INV0129,MATCHED,100.0,INV0129,True,,,,,
B0477,INV0477,MATCHED,100.0,INV0477,True,,,,,
B0009,INV0009,MATCHED,100.0,INV0009,True,,,,,
B0327,INV0327,MATCHED,100.0,INV0327,True,,,,,
B0464,INV0464,MATCHED,100.0,INV0464,True,,,,,
B0065,INV0065,MATCHED,100.0,INV0065,True,,,,,
B0301,INV0301,MATCHED,100.0,INV0301,True,,,,,
B0015,INV0015,MATCHED,100.0,INV0015,True,,,,,
B0157,INV0157,MATCHED,100.0,INV0157,True,,,,,
B0041,INV0041,MATCHED,100.0,INV0041,True,,,,,
B0380,INV0380,MATCHED,100.0,INV0380,True,,,,,
B0469,INV0469,MATCHED,100.0,INV0469,True,,,,,
B0404,INV0404,MATCHED,100.0,INV0404,True,,,,,
B0217,INV0217,MATCHED,100.0,INV0217,True,,,,,
B0280,INV0280,MATCHED,100.0,INV0280,True,,,,,
B0435,INV0435,MATCHED,100.0,INV0435,True,,,,,
B0431,INV0431,MATCHED,100.0,INV0431,True,,,,,
B0338,INV0338,MATCHED,100.0,INV0338,True,,,,,
